@relation Tweets

@attribute Class {negative,positive}
@attribute Text STRING

@data
negative,'USER_NNP can_MD not_RB let_VB be_VB a_DT let_VBN down_RP game_NN sunday_NN with_IN houston_NN and_CC san_NN fran_NN coming_VBG up_RP gotta_VBN focus_NN on_IN beating_VBG tennessee_NN jayisourqb_NN'
negative,'all_PDT the_DT people_NNS seeing_VBG noel_JJ fielding_NN tomorrow_NN i_NN am_VBP extremely_RB jealous_JJ of_IN you_PRP'
positive,'singing_VBG everytime_RB i_IN try_VB to_TO leave_VB something_NN keeps_VBZ pulling_VBG me_PRP back_VB me_PRP back_RB telling_VBG me_PRP i_IN need_NN twitter_IN all_PDT that_DT lol_NN'
positive,'celebrate_VB the_DT chinese_JJ new_JJ year_NN in_IN shanghai_NNS around_IN february_NN and_CC see_VB a_DT dragon_NN dance_NN during_IN the_DT spring_NN festival_NN amazing_JJ experience_NN'
negative,'this_DT bitch_NN USER_NN just_RB put_VBD frog_NN back_RB on_IN lmfao_NN throw_VBP back_RB thursday_RB'
positive,'USER_NNP lr_NN lol_NN i_VBZ used_VBN to_TO do_VB that_IN every_DT saturday_NN so_IN yeah_NN 3_CD'
negative,'did_VBD you_PRP see_VB that_DT andy_JJ carroll_NN header_NN what_WP technique_NN c_NN \'mon_VBZ that_DT \'s_VBZ not_RB technique_NN technique_NN is_VBZ passing_VBG the_DT ball_NN 5_CD yards_NNS 50_CD times_NNS'
positive,'looks_VBZ like_IN andy_RB the_DT android_NN may_MD have_VB had_VBD a_DT little_RB too_RB much_JJ fun_NN yesterday_NN URL_.'
positive,'think_VB i_PRP might_MD go_VB see_VB flight_NN tomorrow_NN just_RB because_IN denzel_NN washington_.'
negative,'yellowgate_NN some_DT iphone_NN 4s_VBD users_NNS complain_VB of_IN yellow_JJ tint_NN to_TO screen_VB URL_NNP USER_NNP USER_NNP'
negative,'i_PRP \'m_VBP not_RB getting_VBG all_DT of_IN my_PRP$ USER_NNP twitter_NN if_IN it_PRP was_VBD n\'t_RB for_IN my_PRP$ emails_NNS telling_VBG me_PRP that_IN some1_DT replied_VBD to_TO me_PRP i_PRP would_MD n\'t_RB even_RB know_VB it_PRP nobueno_.'
positive,'so_RB ready_JJ for_IN my_PRP$ birthday_NN the_DT big_JJ sixteen_CD sweetsixteen_JJ november_NN 22_CD'
negative,'now_RB i_PRP think_VBP i_PRP like_IN gary_NN neville_, a_DT little_JJ'
positive,'the_DT new_JJ camera_NN app_JJ along_IN with_IN the_DT zero_CD delay_NN camera_NN on_IN the_DT galaxy_NN nexus_NN is_VBZ very_RB nice_JJ google_NN android_NN ics_NNS'
negative,'and_CC to_TO the_DT 2_CD girls_NNS in_IN front_NN of_IN us_PRP that_IN sat_VBD down_RB and_CC played_VBD temple_NN run_VB the_DT whole_JJ time_NN why_WRB did_VBD you_PRP even_RB come_VB confused_VBN'
negative,'so_RB in_IN jan_NN 2010_CD darryl_NN issa_NN called_VBD investigating_VBG wikileaks_IN a_DT priority_NN and_CC today_NN he_PRP dumped_VBD raw_JJ intelligence_NN data_NNS on_IN internet_JJ irony_NN anyone_NN'
positive,'kudos_NNS for_IN the_DT gang_NN USER_NNP getting_VBG papers_NNS out_RB again_RB in_IN nyc_NN today_NN where_WRB there_EX \'s_VBZ no_DT power_NN or_CC internet_JJ access_NN pic_NN twitter_NN com_NN wb9bb1l3_.'
positive,'USER_NNP bruce_NN willis_IN bill_NN murray_NN and_CC ed_VBD norton_RB all_DT in_IN the_DT same_JJ film_NN i_PRP may_MD faint_JJ'
negative,'if_IN jenelle_NN comes_VBZ to_TO the_DT game_NN tomorrow_NN i_VBP \'ll_MD die_VB missherlots_NNS itsbeentolong_IN mybaby_NN'
negative,'i_PRP do_VBP n\'t_RB want_VB to_TO take_VB act_NN tomorrow_NN'
positive,'rita_NN oras_NNS on_IN xfactor_NN on_IN sunday_NN which_WDT means_VBZ she_PRP \'ll_MD sing_VB shine_NN ya_PRP light_NN which_WDT i_FW love_NN which_WDT makes_VBZ me_PRP happy_JJ'
positive,'virgo_NN rising_VBG is_VBZ one_CD of_IN the_DT rising_VBG signs_NNS that_WDT is_VBZ more_RBR advantageous_JJ for_IN relationships_NNS because_IN pisces_NNS desc_VBG'
positive,'telegraph_NN reports_NNS that_IN the_DT biggest_JJS threat_NN to_TO facebook_NN is_VBZ its_PRP$ power_NN users_NNS have_VBP shifted_VBN to_TO twitter_VB or_CC google_VB URL_.'
negative,'dear_JJ USER_NNP i_NN had_VBD to_TO turn_VB off_RP all_DT those_DT awesome_JJ featured_VBD you_PRP just_RB enabled_VBD data_NNS plan_NN ca_MD n\'t_RB handle_VB it_PRP 200_CD mb_JJ of_IN data_NNS just_RB because_IN'
negative,'i_PRP ca_MD n\'t_RB believe_VB the_DT 3_CD important_JJ people_NNS in_IN my_PRP$ life_NN are_VBP going_VBG to_TO hawaii_NNS friday_NN without_IN me_PRP'
negative,'lmfaoasdfghjklomg_NN i_VBZ just_RB saw_VBD a_DT picture_NN of_IN jenelle_NN from_IN the_DT 1st_JJ day_NN of_IN school_NN in_IN 5th_JJ grade_NN damn_NN that_IN nigga_NN changed_VBN'
positive,'this_DT time_NN tomorrow_NN night_NN ill_RB be_VB partying_VBG it_PRP up_RP in_IN chapel_NN hill_NN cantwait_NN'
positive,'data_NNS usage_NN in_IN ics_NNS looks_VBZ like_IN i_PRP do_VBP n\'t_RB need_VB watchdog_NN 3g_JJ pro_FW anymore_RB hah_WRB android_NN ics_NNS google_NN'
positive,'this_DT just_RB in_IN USER_NNP has_VBZ never_RB seen_VBN die_VBP hard_JJ either_CC die_VBP hard_JJ marathon_NN after_IN i_PRP get_VB back_RB from_IN mlg_NN'
negative,'USER_NN you_PRP \'re_VBP killing_VBG me_PRP excited_JJ about_IN ios5_VBG no_DT longer_RBR tragic_JJ battery_NN drain_NN genius_NN bar_NN wants_VBZ to_TO replace_VB the_DT battery_NN really_RB'
positive,'USER_NNP b_NN i_IN miss_NN my_PRP$ twitter_NN boo_NN'
negative,'tottenham_NN striker_NN emmanuel_NN adebayor_IN missed_VBN training_NN today_NN and_CC wo_MD n\'t_RB play_VB in_IN the_DT europa_NN league_NN on_IN thursday_PRP$ because_IN of_IN a_DT hamstring_NN injury_NN'
positive,'i_IN love_NN my_PRP$ background_NN twitter_VBG'
positive,'wwe_JJ raw_JJ should_MD be_VB interesting_JJ next_JJ week_NN the_DT road_NN dogg_NN returned_VBD to_TO wwe_VB at_IN the_DT royal_JJ rumble_NN and_CC shawn_NN michaels_NNS is_VBZ going_VBG to_TO be_VB on_IN raw_JJ monday_NN'
positive,'ricky_JJ martin_NN may_MD be_VB gay_JJ but_CC he_PRP \'s_VBZ sexy_JJ af\'_NNS d_CC'
negative,'USER_NNP it_PRP has_VBZ to_TO connect_VB to_TO USER_NNP to_TO process_VB commands_NNS which_WDT it_PRP is_VBZ failing_VBG to_TO do_VB right_RB now_RB'
positive,'taylor_NN swift_NN is_VBZ coming_VBG with_IN ed_JJ sheeran_NN june_NN 29th_IN most_JJS perf_NN news_NN i_IN \'ve_VBP heard_VBN all_DT night_NN'
negative,'you_PRP may_MD find_VB this_DT hard_JJ to_TO believe_VB but_CC viola_DT davis_NN was_VBD a_DT troublemaker_NN back_RB in_IN the_DT day_NN see_VB URL_NNP URL_.'
positive,'android_CC 4_CD 0_CD ice_NN cream_NN introducing_VBG galaxy_JJ nexus_JJ simple_NN beautiful_JJ beyond_IN smart_JJ URL_NNP google_NN'
positive,'by_IN the_DT way_NN thank_VB you_PRP to_TO how_WRB i_PRP met_VBD your_PRP$ mother_NN on_IN netflix_NN without_IN question_NN my_PRP$ new_JJ favorite_JJ show_NN'
negative,'just_RB searching_VBG with_IN my_PRP$ voice_NN on_IN my_PRP$ 2_CD year_NN old_JJ nexus_JJ one_NN USER_NN'
negative,'USER_NNP mommy_NN USER_NNP that_WDT \'s_VBZ terrible_JJ i_IN hope_NN you_PRP get_VBP an_DT apology_NN'
positive,'going_VBG to_TO buffalo_VB wild_JJ wings_NNS tomorrow_NN with_IN my_PRP$ life_NN long_JJ friend_NN israel_NN and_CC my_PRP$ brother_NN that_DT \'s_VBZ what_WP i_VBZ call_NN a_DT good_JJ night_NN knicksnation_NN'
negative,'if_IN i_PRP was_VBD 21_CD i_IN \'d_MD be_VB in_IN a_DT room_NN with_IN noel_NN gallagher_NN shaun_NN ryder_NN bez_, etc_FW but_CC instead_RB i_VBZ \'m_VBP in_IN preston_NN sat_VBD in_IN kfc_NN brilliant_JJ'
positive,'USER_NNP siri_NN is_VBZ witchcraft_IN what_WP \'s_POS next_JJ USER_NNP 2_CD yr_JJ lead_NN lost_VBN'
positive,'USER_NNP alex_NN hashtags_NNS are_VBP used_VBN here_RB twitter_IN gt_NN facebook_NN'
positive,'grammys_NNS concert_NN pays_VBZ moving_VBG tribute_NN to_TO whitney_DT houston_NN whitney_NN houston_NN was_VBD given_VBN a_DT final_JJ sendoff_NN by_IN the_DT grammys_NNS on_IN thursday_RB as_IN halle_NN'
negative,'tough_JJ one_CD tonight_NN for_IN the_DT boys_NNS played_VBD hard_JJ but_CC came_VBD up_RB short_JJ with_IN a_DT 4_CD 1_CD loss_NN with_IN an_DT eng_NN davies_NNS scored_VBD the_DT lone_JJ goal_NN la_DT ronge_NN tomorrow_NN'
negative,'pondering_VBG the_DT ios_NNS update_NN from_IN the_DT sounds_NNS of_IN USER_NNP difficulties_NNS i_VBP may_MD just_RB hold_VB off_RP USER_NNP fix_VB it_PRP'
negative,'i_NN officially_RB hate_VBP USER_NNP fix_VB your_PRP$ damn_JJ itunes_NNS'
negative,'rt_NN USER_NNP twitter_VBD dead_JJ this_DT is_VBZ why_WRB im_PRP never_RB on_IN it_PRP now_RB'
positive,'no14_CD den_NN 34_CD peyton_NN and_CC eli_NNS may_MD meet_VB in_IN the_DT super_JJ bowl_NN if_IN both_DT denver_NN and_CC the_DT new_JJ york_NN giants_NNS keep_VBP winning_VBG like_IN they_PRP did_VBD sunday_NN'
positive,'had_VBD a_DT \'low_JJ \'_\'\' moment_NN then_RB i_PRP thought_VBD why_WRB 2wks_VBD on_IN tuesday_JJ i_NN see_VBP noel_NN gallagher_NN up_RB close_RB with_IN the_DT best_JJS boy_NN in_IN the_DT world_NN now_RB i_VBP \'m_VBP smiling_VBG 0_CD'
negative,'so_RB cutting_VBG the_DT cord_NN makes_VBZ podcasts_NNS even_RB harder_RBR to_TO manage_VB no_DT subscriptions_NNS wth_IN USER_NNP URL_NNP ios5_VBZ via_IN USER_NNP'
positive,'buffalo_NN intel_NN microsoft_JJ ibm_NN are_VBP the_DT best_JJS pavilions_NNS at_IN smau_NN'
negative,'why_WRB is_VBZ siri_NN always_RB down_RP USER_.'
positive,'USER_NNP happy_JJ birthday_NN sweetheart_NN may_MD all_PDT your_PRP$ days_NNS be_VB special_JJ just_RB like_IN you_PRP love_VBP grammy_NN'
positive,'breaking_VBG dawn_NN is_VBZ coming_VBG out_RP on_IN the_DT 16th_JJ yayyy_NN'
positive,'gotta_VBN remember_VBP to_TO bring_VB dionje_JJ candy_NN tomorrow_NN lol_NN he_PRP got_VBD mad_JJ at_IN me_PRP today_NN'
positive,'rt_NN USER_NNP man_NN i_FW \'ve_VBP fallen_VBN in_IN love_NN with_IN galaxy_JJ nexus_JJ google_JJ samsung_JJ galaxynexus_NN android_CC'
negative,'USER_NNP USER_NNP i_IN get_VB they_PRP are_VBP busy_JJ w_IN the_DT new_JJ phone_NN but_CC i_RB just_RB wanted_VBD to_TO buy_VB a_DT stylus_NN they_PRP made_VBD me_PRP wait_VB forever_RB outside_RB never_RB'
negative,'the_DT awkward_JJ moment_NN when_WRB google_JJ chrome_NN take_VBP a_DT hell_NN of_IN a_DT lot_NN time_NN to_TO load_VB googleplus_JJ google_NN'
positive,'new_JJ galaxy_NN nexus_JJ os_NNS hardware_NN improvements_NNS camera_NN zero_CD shutter_NN lag_NN nexus_NN samsung_JJ google_NN android_CC bit_NN ly_RB nejbye_NN'
negative,'USER_NNP lorenzo_NN beasley_NN he_PRP was_VBD killed_VBN on_IN july_RB 17th_JJ of_IN last_JJ year_NN on_IN the_DT corner_NN of_IN 53rd_JJ and_CC king_NN dr_NN'
negative,'anyone_NN else_RB seeing_VBG missing_VBG signal_NN bars_NNS on_IN their_PRP$ iphone_NN 3gs_VBZ with_IN an_DT upgrade_NN to_TO ios5_VB cc_JJ USER_NNP USER_NNP USER_NNP'
positive,'good_JJ morning_NN thursday_IN life_NN is_VBZ fragile_JJ we_PRP \'re_VBP not_RB guaranteed_VBN a_DT tomorrow_NN so_RB give_VBP it_PRP everything_NN you_PRP \'ve_VBP got_VBD tim_JJ cook_NN do_VBP it_PRP for_IN jobs_NNS'
positive,'rt_NN USER_NNP awesome_JJ USER_NNP is_VBZ moving_VBG to_TO vancouver_VB as_IN dev_NN evangelist_NN for_IN microsoft_JJ we_PRP finally_RB get_VB a_DT local_JJ'
positive,'rare_JJ 300kg_JJ meteorite_JJ discovered_VBN in_IN poland_JJ biggest_JJS in_IN eastern_JJ europe_NN and_CC may_MD provide_VB clues_NNS about_IN earth_NN \'s_POS core_NN URL_.'
positive,'rooting_NN for_IN the_DT lions_NNS tonight_RB why_WRB why_WRB not_RB'
negative,'ms_NNS word_NN starter_NN wants_VBZ to_TO upgrade_VB my_PRP$ doc_NN to_TO a_DT docx_NN ms_VBZ word_NN starter_NN wo_MD n\'t_RB let_VB me_PRP open_VB docx_NN microsoft_JJ you_PRP really_RB suck_VB'
positive,'google_NN android_CC icecream_NN sandwich_NN os_NNS for_IN nexus_JJ prime_JJ released_VBN live_JJ blog_NN URL_NNP technology_NN hk_NN'
negative,'okay_JJ i_PRP \'m_VBP sorry_JJ but_CC taylor_JJ swift_JJ looks_NNS nothing_NN like_IN jackie_NN o_IN so_RB stop_VB comparing_VBG the_DT two_CD c_NNS \'mon_JJ america_NN are_VBP n\'t_RB you_PRP sick_JJ of_IN her_PRP$ yet_RB sorry_JJ'
positive,'im_NN embracing_VBG the_DT oversized_JJ sun_NN glass_NN look_NN with_IN my_PRP$ new_JJ glasses_NNS they_PRP are_VBP too_RB awesome_JJ not_RB to_TO i_PRP feel_VBP like_IN jackie_NN o_IN'
positive,'went_VBD to_TO see_VB \'the_PRP mystery_NN of_IN charles_NNS dickens_NNS \'_\'\' at_IN the_DT playhouse_NN theatre_NN west_NN end_NN last_JJ thursday_IN starring_VBG simon_JJ callow_NN it_PRP \'s_VBZ a_DT must_MD see_VB'
positive,'the_DT vow_JJ love_NN this_DT movie_NN if_IN you_PRP are_VBP meant_VBN to_TO be_VB with_IN your_PRP$ loved_VBN one_CD it_PRP will_MD happen_VB no_DT matter_NN what_WP obstacles_NNS you_PRP may_MD face_VB truelove_NN exists_VBZ'
positive,'at_IN the_DT bus_NN with_IN my_PRP$ iphone_NN thxx_NN USER_.'
negative,'gah_NN USER_NNP ios_NNS 5_CD opens_VBZ text_NN messages_NNS painfully_RB slow_JJ on_IN top_NN of_IN 3_CD restore_VB attempts_NNS 2_CD succeed_VBP early_RB adopterness_RB gets_VBZ better_JJR of_IN me_PRP'
positive,'i_PRP \'ve_VBP seen_VBN every_DT denzel_NN washington_IN movie_NN and_CC flight_NN has_VBZ USER_NNP in_IN it_PRP too_RB i_RB miss_VB that_DT kid_NN but_CC i_NN \'m_VBP in_IN that_DT theatre_NN tomorrow_NN'
negative,'diet_NN starts_VBZ tomorrow_RB too_RB bad_JJ i_IN \'m_VBP too_RB jam_NN packed_VBD busy_JJ to_TO go_VB to_TO the_DT gym_NN'
negative,'oh_UH USER_NNP steve_NN obviously_RB had_VBD nothing_NN to_TO do_VB with_IN iphoto_NN as_IN it_PRP \'s_VBZ the_DT perfect_JJ opposite_NN of_IN \'insanely_JJ great_JJ \'_\'\' get_VB it_PRP fixed_VBN please_VB'
positive,'absolutely_RB loving_VBG the_DT arc_NN mouse_NN courtesy_NN of_IN the_DT one_CD and_CC only_RB USER_NNP inspired_VBD microsoft_JJ'
positive,'it_PRP \'s_VBZ my_PRP$ birthday_NN today_NN one_CD that_WDT i_VBP share_NN with_IN the_DT most_RBS capped_JJ england_NN female_NN footballer_NN rachelyankey_NN who_WP i_FW also_RB work_VB with_IN'
positive,'chick_NN in_IN my_PRP$ class_NN said_VBD flacco_NN is_VBZ the_DT best_JJS qb_NN in_IN the_DT league_NN 1_CD why_WRB is_VBZ a_DT chick_NN talkin_NN football_NN 2_CD i_NN cant_NN wait_NN for_IN class_NN tomorrow_NN lol_NN'
negative,'USER_NNP your_PRP$ new_JJ save_VBP a_DT version_NN function_NN in_IN pages_NNS is_VBZ absolutely_RB the_DT most_RBS awful_JJ interrupting_NN counter_NN intuitive_JJ piece_NN of_IN crap_NN in_IN the_DT world_NN'
negative,'USER_NNP multiple_JJ times_NNS siri_NN is_VBZ having_VBG trouble_NN connecting_VBG to_TO the_DT network_NN siri_NN needs_VBZ servers_NNS and_CC some_DT exercise_NN'
negative,'ghost_NN rider_NN 2_CD is_VBZ out_RB on_IN monday_NN ignore_VBP it_PRP'
negative,'hit_VB me_PRP up_RP with_IN your_PRP$ doghouse_NN candidates_NNS for_IN tonight_NN \'s_POS show_NN best_JJS tweets_NNS hit_VBD the_DT air_NN at_IN 10_CD 30_CD'
positive,'ca_MD n\'t_RB believe_VB USER_NNP is_VBZ only_RB 2_CD days_NNS older_JJR than_IN me_PRP ca_MD n\'t_RB wait_VB to_TO see_VB him_PRP again_RB tomorrow_NN with_IN USER_NNP at_IN fort_NN canning_NN singapore_NN'
positive,'wow_NN very_RB fast_JJ camera_NN on_IN galaxy_NN nexus_RB faster_RBR than_IN n9_DT i_FW think_VBP o_IN google_NN'
negative,'depending_VBG on_IN your_PRP$ sensibilities_NNS unofficially_RB yours_PRP may_MD seem_VB progressive_JJ or_CC derivative_NN too_RB bad_JJ the_DT leads_NNS ca_MD n\'t_RB supply_VB the_DT heat_NN it_PRP needed_VBD'
positive,'they_PRP say_VBP you_PRP are_VBP what_WP you_PRP eat_VBP but_CC it_PRP \'s_VBZ friday_NN and_CC i_NN do_VBP n\'t_RB care_VB tgif_IN USER_NNP crows_VBZ nest_NN URL_.'
positive,'black_JJ friday_NN best_JJS price_NN underwater_JJ case_NN for_IN the_DT following_VBG olympus_FW evolt_NN digital_JJ slr_NN URL_.'
positive,'thank_VB you_PRP USER_IN ios_NNS 5_CD for_IN email_NN pop_NN up_RB on_IN the_DT lock_NN screen_NN and_CC opening_VBG it_PRP when_WRB unlocking_VBG'
positive,'i_PRP \'ve_VBP just_RB noticed_VBN that_IN USER_NNP reminds_VBZ me_PRP of_IN noel_NN fielding_VBG a_DT little_JJ bit_NN i_IN think_VBP it_PRP may_MD be_VB their_PRP$ strangely_JJ wonderful_JJ dress_NN sense_NN'
positive,'håper_NN microsoft_JJ lager_NN ny_NN releasepartyguide_NN for_IN mango_NN greatsuccess_NN'
negative,'simon_JJ crean_NN still_RB ca_MD n\'t_RB support_VB the_DT way_NN kevin_IN rudd_NN was_VBD spilled_VBN from_IN the_DT role_NN of_IN pm_NN herald_CC sun_NN URL_.'
positive,'published_VBN a_DT new_JJ blog_NN entry_NN november_NN 18_CD otherwise_RB known_VBN as_IN sheila_NN the_DT great_JJ in_IN art_NN in_IN the_DT county_NN URL_.'
positive,'i_PRP would_MD like_VB to_TO thank_VB twitter_NN for_IN being_VBG here_RB when_WRB i_PRP was_VBD bored_VBN sad_JJ mad_JJ happy_JJ and_CC every_DT other_JJ mood_NN now_RB twitter_RB is_VBZ a_DT true_JJ friend_NN'
positive,'it_PRP \'s_VBZ november_NN 1_CD so_IN you_PRP know_VBP what_WP that_DT means_VBZ you_PRP \'ll_MD see_VB valentine_NN \'s_POS day_NN stuff_NN at_IN walmart_NN soon_RB celebratetherightholiday_.'
positive,'good_JJ to_TO see_VB google_NN finally_RB turning_VBG their_PRP$ focus_NN on_IN user_NN experience_NN URL_IN icecreamsandwich_JJ android_CC'
positive,'if_IN seattle_NN and_CC portland_NN were_VBD knit_VBN together_RB and_CC covered_VBN by_IN the_DT california_NN sun_NN you_PRP \'d_MD have_VB san_VBN fran_IN kinda_RB love_VB it_PRP'
positive,'that_DT movie_NN flight_NN with_IN denzel_NN looks_VBZ really_RB good_JJ may_MD have_VB to_TO go_VB check_VB it_PRP out_IN'
negative,'she_PRP said_VBD that_IN some_DT day_NN soon_RB the_DT sun_NN was_VBD gonna_VBN shine_NN and_CC she_PRP could_MD n\'t_RB have_VB been_VBN more_JJR wrong_JJ my_PRP$ valentine_NN'
negative,'as_IN a_DT huge_JJ podcast_NN fan_NN i_VBZ really_RB feel_VB like_IN USER_NNP dropped_VBD the_DT ball_NN on_IN this_DT one_CD URL_NNP via_IN USER_NNP'
positive,'just_RB met_VBD with_IN cj_NN banjo_NN player_NN in_IN USER_NNP come_VB out_RP to_TO neighborhood_NN theatre_NN on_IN june_NN 23rd_CC for_IN the_DT concert_NN you_PRP wo_MD n\'t_RB want_VB to_TO miss_VB it_PRP'
positive,'charles_NNS tillman_IN won_VBN nfc_NN defensive_JJ player_NN of_IN the_DT month_NN'
negative,'the_DT ending_VBG to_TO the_DT grey_NN may_MD be_VB one_CD of_IN the_DT most_RBS bad_JJ ass_NN endings_NNS to_TO a_DT movie_NN i_NN \'ve_VBP ever_RB seen_VBN'
positive,'rt_NN USER_NNP USER_NNP thanks_NNS for_IN fixing_VBG this_DT URL_NN'
negative,'wow_JJ tiger_NN fires_VBZ a_DT 63_CD but_CC not_RB good_JJ enough_RB nick_NN watney_NN shoots_VBZ a_DT 59_CD if_IN he_PRP birdies_VBZ the_DT 18th_JJ sick_JJ'
positive,'USER_NNP good_JJ luck_NN tomorrow_NN i_NN did_VBD it_PRP once_RB big_JJ david_JJ james_NNS and_CC harry_NN redknapp_NN started_VBD the_DT race_NN they_PRP wore_VBD bomber_NN jackets_NNS'
positive,'android_CC 4_CD 0_CD ice_NN cream_NN sandwich_NN is_VBZ here_RB with_IN a_DT google_JJ nexus_NN in_IN new_JJ avtar_NN URL_NNP android_CC google_JJ nexus_JJ bigmama_CC'
positive,'USER_NNP bryce_NN hey_UH sue_VB so_RB excited_VBN to_TO see_VB you_PRP at_IN wppi_DT u_NN tomorrow_NN we_PRP \'re_VBP coming_VBG don_IN canada_NN and_CC would_MD love_VB to_TO buy_VB you_PRP a_DT drink_NN USER_NNP photo_NN'
positive,'celebrity_NN juice_NN is_VBZ the_DT highlight_NN of_IN my_PRP$ thursday_VBP night_NN keith_IN lemmon_NN is_VBZ hilarious_JJ hahaha_NN'
negative,'i_NN may_MD be_VB the_DT odd_JJ man_NN out_IN on_IN this_DT but_CC i_PRP do_VBP n\'t_RB get_VB all_DT the_DT buzz_NN on_IN this_DT kendrick_NN lamar_NN decent_JJ i_NN guess_NN but_CC not_RB stellar_NN'
positive,'google_NN is_VBZ the_DT best_JJS invention_NN ever_RB'
positive,'fuck_VB facebook_NN twitter_NN is_VBZ way_RB better_JJR teamfollowback_NN followme_NN'
positive,'google_JJ earth_NN helps_VBZ locate_VB salmonella_NN hotspots_NNS URL_. google_NN'
negative,'why_WRB i_PRP decided_VBD to_TO watch_VB the_DT notebook_NN for_IN the_DT first_JJ time_NN alone_RB at_IN midnight_NN on_IN a_DT thursday_NN is_VBZ beyond_IN me_PRP ca_MD n\'t_RB stop_VB crying_VBG pic_NN twitter_NN com_NN vnwcr3j5_.'
positive,'michael_NN jackson_NN is_VBZ like_IN the_DT sun_NN he_PRP \'s_VBZ so_RB hot_JJ and_CC 4950675967586785768455636_CD kilometers_NNS far_RB from_IN me_PRP'
negative,'umes_NNS followers_NNS do_VBP n\'t_RB forget_VB umesvolleyball_NN takes_VBZ on_IN morgan_NN state_NN today_NN at_IN 3_CD be_VB there_EX or_CC be_VB really_RB bored_JJ cuz_IN it_PRP \'s_VBZ a_DT sunday_NN your_PRP$ choice_NN'
negative,'rt_NN USER_NNP wow_VBD worst_JJS USER_NNP customer_NN service_NN experience_NN ever_RB arrogant_JJ and_CC inept_JJ bad_JJ combo_NN biltmore_IN apple_NN store_NN'
positive,'microsoft_JJ stores_NNS offer_VBP up_RP free_JJ windows_NNS phone_VBP 7_CD devices_NNS microsoft_JJ microsoftstores_NNS URL_. microsoft_NN'
negative,'2nd_CD coming_VBG will_MD blacks_NNS america_VB debate_VB the_DT 2012_CD election_NN bet_NN USER_NNP i_IN \'m_VBP tired_JJ of_IN hearing_VBG ppl_NN say_VBP potus_NN have_VBP n\'t_RB done_VBN anything_NN 4_CD blks_NNS'
negative,'slept_VBD at_IN 6_CD in_IN the_DT afternoon_NN yesterday_NN now_RB i_IN \'ve_VB just_RB woken_VBN up_RP awesome_JJ'
positive,'USER_NNP cof_VBD cof_IN someone_NN is_VBZ going_VBG to_TO germany_VB on_IN november_NN 30_CD oh_UH i_FW really_RB envy_VB you_PRP URL_.'
positive,'USER_NNP haha_NN spent_VBD all_DT of_IN our_PRP$ energy_NN with_IN gangnam_NN style_NN yesterday_NN 3_CD awesome_JJ time_NN and_CC i_NN got_VBD you_PRP to_TO dance_VB wee_NN d_VBN'
negative,'stacie_NN just_RB hit_VBD me_PRP up_RP and_CC said_VBD my_PRP$ packages_NNS might_MD be_VB up_RB here_RB tomorrow_NN if_IN that_DT \'s_VBZ the_DT case_NN i_PRP \'m_VBP not_RB going_VBG to_TO the_DT rave_NN in_IN san_JJ fran_NN priorities_NNS'
positive,'happy_JJ birthday_NN nick_NN j_NN may_MD you_PRP live_VB long_RB and_CC happy_JJ'
positive,'100_CD proof_NN absolut_RB really_RB annette_VB why_WRB'
positive,'USER_NNP congratulations_NNS kendall_NN in_IN germany_NN it_PRP is_VBZ 7_CD clock_NN friday_NN november_NN 2_CD so_RB happy_JJ b_NN day_NN'
positive,'channel_NN 4_CD 30_CD years_NNS old_JJ on_IN friday_NN d_NN \'oh_WDT showed_VBD some_DT great_JJ programmes_NNS over_IN the_DT years_NNS especially_RB paul_VBP hogan_NN'
positive,'i_IN love_NN USER_NNP service_NN my_PRP$ case_NN has_VBZ cracked_VBN 3x_CD and_CC i_RB go_VB in_IN and_CC they_PRP hand_VB me_PRP a_DT case_NN and_CC i_IN walk_NN out_IN'
positive,'janowicz_NN was_VBD 221_CD in_IN january_NN and_CC the_DT win_VBP over_IN murray_NN today_NN takes_VBZ him_PRP to_TO 46_CD good_JJ year_NN mega_JJ potential_JJ 36_CD if_IN he_PRP beats_VBZ tipsarevic_JJ'
positive,'currently_RB ordering_VBG a_DT brand_NN new_JJ macbook_NN pro_NN bahhh_IN my_PRP$ macbook_NN is_VBZ 5_CD years_NNS old_JJ i_NN \'ll_MD miss_VB it_PRP but_CC it_PRP \'s_VBZ time_NN cc_JJ USER_NN'
positive,'guess_NN i_PRP \'m_VBP addicted_VBN to_TO twitter_VB writing_VBG the_DT answers_NNS to_TO 15_CD marks_NNS university_NN exam_NN questions_NNS in_IN less_JJR than_IN 140_CD characters_NNS p_NN'
positive,'all_DT i_PRP want_VBP for_IN my_PRP$ 16th_JJ birthday_NN are_VBP taylor_NN swift_JJ tickets_NNS no_DT party_NN just_RB tickets_NNS'
negative,'i_PRP have_VBP an_DT important_JJ race_NN tomorrow_NN which_WDT determines_VBZ if_IN we_PRP make_VBP cif_JJ and_CC i_PRP \'m_VBP sitting_VBG here_RB eating_VBG donuts_NNS'
negative,'i_PRP wonder_VBP what_WP cortese_NN is_VBZ thinking_VBG after_IN watching_VBG that_DT 1st_JJ half_NN of_IN total_JJ wank_NN as_IN for_IN boruc_NN you_PRP are_VBP a_DT disgrace_NN and_CC a_DT complete_JJ twat_NN saintsfc_.'
